time,sign,action,risk,weather,hour
2026-03-11 11:58:15.829111,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:16.593027,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:16.862952,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:17.128864,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:17.645101,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:17.910205,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:19.473945,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:19.729620,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:19.974551,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:20.249575,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:20.514336,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:20.772169,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:21.039102,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:21.609283,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:22.104470,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:22.363158,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:23.163054,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:23.442380,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:23.729187,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:24.007865,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:24.291089,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:24.563201,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:24.844975,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:25.115514,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:25.393886,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:25.926932,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:26.191932,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:26.469418,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:26.748666,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:27.025069,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:27.307004,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:27.602583,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:27.876652,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:28.191909,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:28.487069,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:28.748871,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:29.019196,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:29.299880,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:29.593758,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:30.386963,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:30.666922,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:30.938406,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:31.780418,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:58:32.296768,speed_limit_90,MONITOR,0.4,Clear,11
2026-03-11 11:59:23.932077,no_waiting,MONITOR,0.4,Clear,11
2026-03-11 11:59:25.874587,Round-About,MONITOR,0.4,Clear,11
2026-03-11 11:59:26.640420,speed_limit_100,MONITOR,0.4,Clear,11
2026-03-11 11:59:27.847885,Round-About,MONITOR,0.4,Clear,11
